,0,1,2,3,4
145,Noise,"Outside, urban or manmade","Inside, public space",Chatter,Speech
146,"Outside, urban or manmade","Inside, large room or hall",Noise,"Inside, public space",Speech
147,Clip-clop,"Outside, urban or manmade","Inside, large room or hall","Inside, public space",Speech
148,Conversation,"Outside, urban or manmade","Inside, public space","Inside, large room or hall",Speech
149,"Inside, large room or hall","Inside, public space",Horse,Clip-clop,Speech
150,Bus,"Narration, monologue","Inside, public space",Vehicle,Speech
151,"Outside, urban or manmade","Inside, public space",Noise,Chatter,Speech
152,Bow-wow,Animal,"Domestic animals, pets",Dog,Speech
153,"Inside, public space",Chatter,Conversation,"Inside, large room or hall",Speech
154,"Inside, public space","Inside, large room or hall","Narration, monologue",Conversation,Speech
155,"Outside, urban or manmade",Conversation,"Inside, large room or hall","Narration, monologue",Speech
156,Vehicle,Speech,Explosion,Sound effect,Silence
